label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125
A,0.0,0.0,0.0,0.5356685519218445,-0.026213841512799263,-0.027129683643579483,1.0304633378982544,-0.12322019040584564,-0.1064722090959549,1.3998574018478394,-0.15176762640476227,-0.2022722214460373,1.680511474609375,-0.22599977254867554,-0.2766072154045105,0.9998205900192261,-0.5918667912483215,-0.2663247585296631,1.3183658123016357,-0.18384350836277008,-0.4664040207862854,1.1942567825317383,0.04722687974572182,-0.5241979360580444,1.0410741567611694,0.061427321285009384,-0.5327141284942627,0.731748640537262,-0.5824880003929138,-0.35390904545783997,1.0418486595153809,-0.07455188781023026,-0.5294760465621948,0.8812457919120789,0.12629306316375732,-0.5092931389808655,0.7327105402946472,0.08985874056816101,-0.4852459132671356,0.4560750722885132,-0.458339124917984,-0.44671985507011414,0.7408154606819153,0.028410043567419052,-0.5985556244850159,0.617300808429718,0.1933015137910843,-0.5186867117881775,0.5011753439903259,0.12064158916473389,-0.45188120007514954,0.204044908285141,-0.28754863142967224,-0.5435410141944885,0.4146833121776581,0.146840900182724,-0.6169085502624512,0.3584117889404297,0.24472489953041077,-0.5551801919937134,0.27554070949554443,0.14816299080848694,-0.5062370896339417,0.0,0.0,0.0,-0.3387598991394043,-0.1380985826253891,-0.17227070033550262,-0.663291871547699,-0.31489843130111694,-0.31814926862716675,-0.9382708072662354,-0.4249767065048218,-0.4408648908138275,-1.0708669424057007,-0.4460587799549103,-0.5372914671897888,-0.5545791983604431,-0.9641041159629822,-0.31614527106285095,-1.0822606086730957,-0.5901655554771423,-0.46780771017074585,-1.0266779661178589,-0.296120285987854,-0.5162379741668701,-0.867042601108551,-0.25380203127861023,-0.547577977180481,-0.2886772155761719,-0.893580436706543,-0.34377235174179077,-0.8768613934516907,-0.357025146484375,-0.46567901968955994,-0.7203139662742615,-0.08695271611213684,-0.45457446575164795,-0.5204992890357971,-0.09685109555721283,-0.44609594345092773,-0.03631654754281044,-0.6988543272018433,-0.380489706993103,-0.5976487994194031,-0.1556810885667801,-0.4856168329715729,-0.44108617305755615,0.042360819876194,-0.39670780301094055,-0.24213062226772308,-0.01367128174751997,-0.3371284604072571,0.1911243051290512,-0.4416719377040863,-0.4392409324645996,-0.2675183415412903,-0.06930762529373169,-0.5201235413551331,-0.2114374339580536,0.06647003442049026,-0.4573146402835846,-0.06848125904798508,0.023997999727725983,-0.39049890637397766
A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.315430223941803,-0.022336704656481743,-0.04926832392811775,0.6789726614952087,-0.15583762526512146,-0.24817173182964325,1.0130497217178345,-0.14980559051036835,-0.43680015206336975,1.260738492012024,-0.10659586638212204,-0.645776093006134,0.5670883655548096,-0.6301891207695007,-0.6663647294044495,0.9008514285087585,0.05750928819179535,-0.8569547533988953,0.8141010403633118,0.3064151704311371,-0.8848586678504944,0.698570191860199,0.3356283903121948,-0.8654546141624451,0.3408087491989136,-0.5967757105827332,-0.7264352440834045,0.6653064489364624,0.1595059335231781,-0.901848316192627,0.5551683306694031,0.343662828207016,-0.8649504780769348,0.46122437715530396,0.26556941866874695,-0.8407901525497437,0.09715385735034943,-0.4290304481983185,-0.748254656791687,0.42030665278434753,0.2761920392513275,-0.8689443469047546,0.35101035237312317,0.4049915671348572,-0.7527969479560852,0.27872398495674133,0.28699424862861633,-0.6690414547920227,-0.11121159791946411,-0.20159386098384857,-0.7670207619667053,0.16781505942344666,0.3703133463859558,-0.8781638145446777,0.12338240444660187,0.5043203234672546,-0.7821308970451355,0.05944516509771347,0.4224506616592407,-0.6981520652770996
A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.38498300313949585,-0.3229084014892578,-0.012180379591882229,-0.7673904895782471,-0.43637433648109436,-0.06859209388494492,-1.1497021913528442,-0.5149783492088318,-0.12221965193748474,-1.3412604331970215,-0.7112768888473511,-0.1652914136648178,-1.0264372825622559,-0.08155950903892517,-0.12346528470516205,-1.3466424942016602,-0.11257745325565338,-0.16344134509563446,-1.1741832494735718,-0.165188729763031,-0.18456126749515533,-1.001353144645691,-0.18531353771686554,-0.19776277244091034,-0.9624674916267395,0.23237954080104828,-0.14020036160945892,-1.2777843475341797,0.15609581768512726,-0.11891946196556091,-1.1218832731246948,0.0809025838971138,-0.08182946592569351,-0.9590763449668884,0.06044180691242218,-0.07792982459068298,-0.848158061504364,0.49921318888664246,-0.147405743598938,-1.1517465114593506,0.4107779860496521,-0.10491404682397842,-1.029070496559143,0.3258642554283142,-0.0321258082985878,-0.8596991896629333,0.29927220940589905,-0.011597943492233753,-0.7130441069602966,0.7070923447608948,-0.156057670712471,-0.9816424250602722,0.6478894352912903,-0.10672884434461594,-0.8879421353340149,0.5601158738136292,-0.015891730785369873,-0.7497637867927551,0.5367836356163025,0.04028056189417839
A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3821791112422943,-0.3451794385910034,-0.015517398715019226,-0.7717788815498352,-0.4649581015110016,-0.0677746832370758,-1.1565073728561401,-0.5506131649017334,-0.11530999839305878,-1.3431609869003296,-0.7487883567810059,-0.15200011432170868,-1.0285148620605469,-0.10042361915111542,-0.12983529269695282,-1.3632479906082153,-0.11811769008636475,-0.1652701497077942,-1.1946061849594116,-0.1754220426082611,-0.17963993549346924,-1.0212842226028442,-0.19830355048179626,-0.18721352517604828,-0.9652388095855713,0.21912133693695068,-0.14247778058052063,-1.293020248413086,0.1563015878200531,-0.11906550824642181,-1.1438324451446533,0.07671668380498886,-0.08107422292232513,-0.9803919792175293,0.05319765582680702,-0.07529547810554504,-0.8487892746925354,0.4931096136569977,-0.14494764804840088,-1.1538101434707642,0.40502265095710754,-0.099480040371418,-1.0378851890563965,0.3198096752166748,-0.030599534511566162,-0.8705168962478638,0.2956404685974121,-0.01270410604774952,-0.7134570479393005,0.7101311087608337,-0.14867427945137024,-0.9844547510147095,0.654174268245697,-0.09601771086454391,-0.8981189131736755,0.569789469242096,-0.008285137824714184,-0.7658550143241882,0.5476639866828918,0.0451778769493103
A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.38617563247680664,-0.3204432427883148,-0.023574622347950935,-0.7692458033561707,-0.4469572603702545,-0.09038352221250534,-1.147887945175171,-0.5220426917076111,-0.1512058973312378,-1.342530608177185,-0.7161194086074829,-0.20104816555976868,-1.0258662700653076,-0.08617477118968964,-0.1475902944803238,-1.347055196762085,-0.11517143249511719,-0.19310078024864197,-1.1806122064590454,-0.16758722066879272,-0.21519304811954498,-1.012304663658142,-0.1850612610578537,-0.2295273244380951,-0.9592170715332031,0.2313912808895111,-0.16235990822315216,-1.2803430557250977,0.1532880663871765,-0.14690454304218292,-1.1281298398971558,0.0752422958612442,-0.10924509912729263,-0.967124879360199,0.05816364288330078,-0.10523062944412231,-0.8446993827819824,0.4999043643474579,-0.16759157180786133,-1.1576725244522095,0.41215255856513977,-0.1317828744649887,-1.039089560508728,0.3264453411102295,-0.060009729117155075,-0.8721683025360107,0.3012908399105072,-0.03992319107055664,-0.7092345952987671,0.7094479203224182,-0.17469698190689087,-0.9903246164321899,0.6566039323806763,-0.13340038061141968,-0.8946071267127991,0.5646326541900635,-0.044994551688432693,-0.7525487542152405,0.5414182543754578,0.010251042433083057
A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3837435245513916,-0.32251542806625366,-0.022884046658873558,-0.7635772824287415,-0.4447183907032013,-0.0881810411810875,-1.1439069509506226,-0.5111009478569031,-0.1473245918750763,-1.3391711711883545,-0.7040823101997375,-0.19551391899585724,-1.027230978012085,-0.08359476178884506,-0.1439812332391739,-1.3467053174972534,-0.11347373574972153,-0.18725013732910156,-1.1827324628829956,-0.1667378693819046,-0.20785094797611237,-1.0128552913665771,-0.18579117953777313,-0.22112806141376495,-0.959371030330658,0.23382967710494995,-0.15789508819580078,-1.280158281326294,0.15632092952728271,-0.1406668722629547,-1.1306861639022827,0.07645183056592941,-0.10253769159317017,-0.9689032435417175,0.05753001198172569,-0.09809807687997818,-0.8421501517295837,0.5012084245681763,-0.1621994972229004,-1.1539875268936157,0.4176434874534607,-0.126191645860672,-1.0386581420898438,0.32917553186416626,-0.05517905205488205,-0.8711556792259216,0.30095288157463074,-0.03550020977854729,-0.7025055289268494,0.708834171295166,-0.1681288778781891,-0.9816750884056091,0.660621702671051,-0.1288326531648636,-0.8904600143432617,0.5684380531311035,-0.04219488799571991,-0.7505204677581787,0.5442324876785278,0.012256891466677189
A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.38247159123420715,-0.319717139005661,-0.015434352681040764,-0.7638046741485596,-0.43435168266296387,-0.0729043111205101,-1.1439367532730103,-0.505546510219574,-0.12611950933933258,-1.3395758867263794,-0.6963077187538147,-0.16856831312179565,-1.0274583101272583,-0.07641281932592392,-0.12211386859416962,-1.3431203365325928,-0.09982169419527054,-0.16044145822525024,-1.1715589761734009,-0.15099237859249115,-0.18150344491004944,-1.0036994218826294,-0.17004898190498352,-0.19550390541553497,-0.9621443748474121,0.2352069616317749,-0.13768072426319122,-1.272939920425415,0.17274202406406403,-0.114873968064785,-1.1173381805419922,0.09742830693721771,-0.07802984118461609,-0.9587790369987488,0.07542809098958969,-0.07403326779603958,-0.8447708487510681,0.5006778836250305,-0.1443158984184265,-1.1379002332687378,0.42155513167381287,-0.10183561593294144,-1.0189632177352905,0.33952322602272034,-0.033511631190776825,-0.8545704483985901,0.3130660355091095,-0.015525399707257748,-0.7072663903236389,0.708869993686676,-0.15243883430957794,-0.9669468998908997,0.6681243181228638,-0.10390065610408783,-0.8805890083312988,0.5819209218025208,-0.017606211826205254,-0.7522661685943604,0.5555265545845032,0.03571391850709915
A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3871390223503113,-0.32524120807647705,-0.010244349017739296,-0.7741016745567322,-0.43652185797691345,-0.0635908916592598,-1.1547800302505493,-0.5127454400062561,-0.11410960555076599,-1.3454616069793701,-0.7116663455963135,-0.15462827682495117,-1.0269734859466553,-0.07781720906496048,-0.11721879988908768,-1.347049355506897,-0.10600847005844116,-0.15499930083751678,-1.1751806735992432,-0.16258960962295532,-0.17608274519443512,-1.005430817604065,-0.1869436800479889,-0.18991321325302124,-0.9630487561225891,0.23353812098503113,-0.1341530829668045,-1.2776943445205688,0.16260218620300293,-0.1102035865187645,-1.1230456829071045,0.0850534662604332,-0.07367812842130661,-0.9630433320999146,0.06148776412010193,-0.06990756094455719,-0.8467711806297302,0.4970695972442627,-0.14176924526691437,-1.1431808471679688,0.4125870168209076,-0.0964212715625763,-1.0236542224884033,0.3281889259815216,-0.027155516669154167,-0.8590944409370422,0.2999322712421417,-0.009018649347126484,-0.7101054191589355,0.702382504940033,-0.15066517889499664,-0.9684743881225586,0.6573408246040344,-0.09805050492286682,-0.8835545778274536,0.5712095499038696,-0.010194767266511917,-0.7564639449119568,0.5442760586738586,0.04338511824607849
A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3801455795764923,-0.32866689562797546,-0.011985808610916138,-0.7735326886177063,-0.44549453258514404,-0.06440320611000061,-1.1543338298797607,-0.5326536893844604,-0.1147184744477272,-1.3419619798660278,-0.728138267993927,-0.1561937779188156,-1.0330365896224976,-0.09439912438392639,-0.11672350764274597,-1.347517967224121,-0.09951481968164444,-0.15778414905071259,-1.1837903261184692,-0.1549311876296997,-0.1821397840976715,-1.0175434350967407,-0.18071348965168,-0.1962117999792099,-0.966145932674408,0.22030822932720184,-0.13426201045513153,-1.2820065021514893,0.1725330948829651,-0.11609111726284027,-1.1354809999465942,0.09840042144060135,-0.08482705801725388,-0.9748333096504211,0.07520963251590729,-0.08247102051973343,-0.8460398316383362,0.49134787917137146,-0.14286115765571594,-1.1423566341400146,0.4179011583328247,-0.103008933365345,-1.026931881904602,0.33732154965400696,-0.037692759186029434,-0.8633297085762024,0.31033968925476074,-0.020385751500725746,-0.7086441516876221,0.7061669826507568,-0.15273228287696838,-0.9718003273010254,0.662858784198761,-0.10313834249973297,-0.8802645802497864,0.5821675658226013,-0.01621486060321331,-0.7470085024833679,0.5581461191177368,0.03756142780184746
A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.386808842420578,-0.3329506814479828,-0.014615215361118317,-0.7868897914886475,-0.4507571756839752,-0.06849929690361023,-1.1708338260650635,-0.5394969582557678,-0.11981110274791718,-1.3565646409988403,-0.7424046397209167,-0.1623286008834839,-1.0337282419204712,-0.0936494842171669,-0.12283330410718918,-1.3559422492980957,-0.09795551002025604,-0.16739220917224884,-1.1905879974365234,-0.15544767677783966,-0.1938633769750595,-1.0191004276275635,-0.18202339112758636,-0.20856258273124695,-0.9643004536628723,0.22497129440307617,-0.139687180519104,-1.2856398820877075,0.17743179202079773,-0.12271160632371902,-1.1412180662155151,0.0998668223619461,-0.09226801246404648,-0.9788750410079956,0.07505491375923157,-0.09087507426738739,-0.8419293761253357,0.49975135922431946,-0.14778004586696625,-1.1448591947555542,0.42603036761283875,-0.10968566685914993,-1.0298103094100952,0.342011421918869,-0.04433227330446243,-0.8637763261795044,0.31495875120162964,-0.02678414061665535,-0.702393651008606,0.7176311016082764,-0.1571907103061676,-0.9730237126350403,0.6757644414901733,-0.10941969603300095,-0.8849847912788391,0.5928117632865906,-0.02213711477816105,-0.7519310712814331,0.5682723522186279,0.03220916539430618
